kind,name,path,target,status,notes
wp-hook,wp_head,chroma-excellence-theme/inc/enqueue.php,action,inventory,
wp-hook,wp_enqueue_scripts,chroma-excellence-theme/inc/enqueue.php,action,inventory,
wp-hook,wp_enqueue_scripts,chroma-excellence-theme/inc/enqueue.php,action,inventory,
wp-hook,script_loader_tag,chroma-excellence-theme/inc/enqueue.php,filter,inventory,
wp-hook,wpseo_canonical,chroma-excellence-theme/inc/force-trailing-slashes.php,filter,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/general-seo-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/general-seo-meta.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/home-page-meta.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/home-page-meta.php,action,inventory,
wp-hook,add_meta_boxes,chroma-excellence-theme/inc/meta-boxes/class-post-newsroom.php,action,inventory,
wp-hook,save_post,chroma-excellence-theme/inc/meta-boxes/class-post-newsroom.php,action,inventory,
wp-hook,cron_schedules,chroma-excellence-theme/inc/monthly-seo-cron.php,filter,inventory,
wp-hook,after_switch_theme,chroma-excellence-theme/inc/monthly-seo-cron.php,action,inventory,
wp-hook,switch_theme,chroma-excellence-theme/inc/monthly-seo-cron.php,action,inventory,
