kind,name,path,line,scope,status,notes
wp_action,added_option,chroma-excellence-theme\inc\program-settings.php,102,hook,registered,
wp_action,after_switch_theme,chroma-excellence-theme\inc\program-settings.php,110,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\schema-meta-boxes.php,49,hook,registered,
wp_action,save_post_page,chroma-excellence-theme\inc\schema-meta-boxes.php,365,hook,registered,
wp_action,save_post_location,chroma-excellence-theme\inc\schema-meta-boxes.php,411,hook,registered,
wp_action,save_post_program,chroma-excellence-theme\inc\schema-meta-boxes.php,455,hook,registered,
wp_action,send_headers,chroma-excellence-theme\inc\security.php,35,hook,registered,
wp_action,after_setup_theme,chroma-excellence-theme\inc\setup.php,69,hook,registered,
wp_action,after_setup_theme,chroma-excellence-theme\inc\setup.php,78,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\stories-page-meta.php,27,hook,registered,
wp_action,save_post,chroma-excellence-theme\inc\stories-page-meta.php,88,hook,registered,
wp_action,wp_head,chroma-excellence-theme\template-program-early-start.php,21,hook,registered,
wp_action,wp_head,chroma-excellence-theme\template-program-rising-kindergarten.php,16,hook,registered,
wp_action,wp_head,chroma-excellence-theme\template-program-rising-prek.php,16,hook,registered,
wp_action,admin_init,chroma-plugins\chroma-acquisitions-form\chroma-acquisitions-form.php,95,hook,registered,
wp_action,admin_menu,chroma-plugins\chroma-acquisitions-form\chroma-acquisitions-form.php,117,hook,registered,
wp_action,template_redirect,chroma-plugins\chroma-acquisitions-form\chroma-acquisitions-form.php,485,hook,registered,
shortcode,chroma_acquisition_form,chroma-plugins\chroma-acquisitions-form\chroma-acquisitions-form.php,378,shortcode,registered,
wp_action,admin_init,chroma-plugins\chroma-career-form\chroma-career-form.php,122,hook,registered,
wp_action,admin_menu,chroma-plugins\chroma-career-form\chroma-career-form.php,144,hook,registered,
wp_action,template_redirect,chroma-plugins\chroma-career-form\chroma-career-form.php,673,hook,registered,
shortcode,chroma_career_form,chroma-plugins\chroma-career-form\chroma-career-form.php,530,shortcode,registered,
wp_action,admin_init,chroma-plugins\chroma-contact-form\chroma-contact-form.php,139,hook,registered,
wp_action,admin_menu,chroma-plugins\chroma-contact-form\chroma-contact-form.php,161,hook,registered,
wp_action,template_redirect,chroma-plugins\chroma-contact-form\chroma-contact-form.php,698,hook,registered,
shortcode,chroma_contact_form,chroma-plugins\chroma-contact-form\chroma-contact-form.php,565,shortcode,registered,
wp_action,init,chroma-plugins\chroma-lead-log\chroma-lead-log.php,47,hook,registered,
wp_action,manage_lead_log_posts_custom_column,chroma-plugins\chroma-lead-log\chroma-lead-log.php,88,hook,registered,
wp_action,add_meta_boxes,chroma-plugins\chroma-lead-log\chroma-lead-log.php,114,hook,registered,
wp_action,admin_init,chroma-plugins\chroma-lead-log\chroma-lead-log.php,156,hook,registered,
wp_action,admin_menu,chroma-plugins\chroma-lead-log\chroma-lead-log.php,172,hook,registered,
wp_action,save_post,chroma-plugins\chroma-lead-log\chroma-lead-log.php,314,hook,registered,
wp_filter,manage_lead_log_posts_columns,chroma-plugins\chroma-lead-log\chroma-lead-log.php,65,hook,registered,
wp_filter,manage_edit-lead_log_sortable_columns,chroma-plugins\chroma-lead-log\chroma-lead-log.php,98,hook,registered,
cpt,lead_log,chroma-plugins\chroma-lead-log\chroma-lead-log.php,45,post_type,registered,
wp_action,template_redirect,chroma-plugins\chroma-tour-form\chroma-tour-form.php,356,hook,registered,
wp_action,admin_init,chroma-plugins\chroma-tour-form\chroma-tour-form.php,389,hook,registered,
wp_action,admin_menu,chroma-plugins\chroma-tour-form\chroma-tour-form.php,404,hook,registered,
shortcode,chroma_tour_form,chroma-plugins\chroma-tour-form\chroma-tour-form.php,254,shortcode,registered,
wp_action,init,old_controller.php,23,hook,registered,
wp_action,template_redirect,old_controller.php,26,hook,registered,
wp_action,wp_ajax_cqa_frontend_login,old_controller.php,29,hook,registered,
wp_action,wp_ajax_nopriv_cqa_frontend_login,old_controller.php,30,hook,registered,
wp_action,wp_ajax_cqa_oauth_callback,old_controller.php,33,hook,registered,
wp_action,wp_ajax_nopriv_cqa_oauth_callback,old_controller.php,34,hook,registered,
wp_action,wp_head,old_controller.php,42,hook,registered,
wp_filter,query_vars,old_controller.php,25,hook,registered,
wp_filter,wp_sitemaps_add_provider,old_controller.php,37,hook,registered,
wp_filter,wpseo_exclude_from_sitemap_by_url,old_controller.php,38,hook,registered,
wp_filter,rank_math/sitemap/exclude_urls,old_controller.php,39,hook,registered,
enqueue,cqa-frontend-styles,old_controller.php,183,asset,registered,
enqueue,cqa-frontend,old_controller.php,187,asset,registered,
enqueue,cqa-react-app,old_controller.php,202,asset,registered,
enqueue,cqa-runtime-guard,old_controller.php,205,asset,registered,
enqueue,cqa-react-app,old_controller.php,213,asset,registered,
enqueue,cqa-admin-styles,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,156,asset,registered,
enqueue,cqa-mobile-styles,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,164,asset,registered,
enqueue,cqa-google-fonts,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,173,asset,registered,
enqueue,cqa-admin-scripts,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,188,asset,registered,
enqueue,cqa-report-wizard,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,213,asset,registered,
enqueue,cqa-duplicate-report,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,222,asset,registered,
enqueue,cqa-keyboard-nav,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,230,asset,registered,
enqueue,cqa-voice-to-text,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,239,asset,registered,
enqueue,cqa-offline-manager,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,247,asset,registered,
enqueue,cqa-photo-annotator,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,256,asset,registered,
enqueue,cqa-item-photo-uploader,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,265,asset,registered,
enqueue,cqa-school-map,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,293,asset,registered,
enqueue,cqa-version-history,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,304,asset,registered,
enqueue,cqa-react-app,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,364,asset,registered,
enqueue,cqa-runtime-guard,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,372,asset,registered,
enqueue,cqa-react-app,plugins\QA-Report-App\chroma-qa-reports\admin\class-admin-menu.php,380,asset,registered,
wp_action,plugins_loaded,plugins\QA-Report-App\chroma-qa-reports\chroma-qa-reports.php,109,hook,registered,
rest_route,cqa/v1 /insights/company,plugins\QA-Report-App\chroma-qa-reports\includes\ai\class-comparative-insights.php,311,wordpress_rest,registered,
wp_action,rest_api_init,plugins\QA-Report-App\chroma-qa-reports\includes\ai\class-comparative-insights.php,326,hook,registered,
rest_route,cqa/v1 /photos/analyze,plugins\QA-Report-App\chroma-qa-reports\includes\ai\class-photo-analyzer.php,274,wordpress_rest,registered,
rest_route,cqa/v1 /photos/batch-analyze,plugins\QA-Report-App\chroma-qa-reports\includes\ai\class-photo-analyzer.php,291,wordpress_rest,registered,
wp_action,rest_api_init,plugins\QA-Report-App\chroma-qa-reports\includes\ai\class-photo-analyzer.php,307,hook,registered,
rest_route,cqa/v1 /analytics/school/(?P<id>\d+)/trend,plugins\QA-Report-App\chroma-qa-reports\includes\analytics\class-trends.php,263,wordpress_rest,registered,
rest_route,cqa/v1 /analytics/regional,plugins\QA-Report-App\chroma-qa-reports\includes\analytics\class-trends.php,273,wordpress_rest,registered,
rest_route,cqa/v1 /analytics/company,plugins\QA-Report-App\chroma-qa-reports\includes\analytics\class-trends.php,283,wordpress_rest,registered,
rest_route,cqa/v1 /analytics/school/(?P<id>\d+)/export,plugins\QA-Report-App\chroma-qa-reports\includes\analytics\class-trends.php,293,wordpress_rest,registered,
wp_action,rest_api_init,plugins\QA-Report-App\chroma-qa-reports\includes\analytics\class-trends.php,312,hook,registered,
wp_filter,rest_request_after_callbacks,plugins\QA-Report-App\chroma-qa-reports\includes\api\class-rest-controller.php,44,hook,registered,
wp_action,template_redirect,plugins\QA-Report-App\chroma-qa-reports\includes\class-plugin.php,60,hook,registered,
